sample	is_target_pos	seg_idx	chr	start	end	gene	depth	anchor_ratio	copy_ratio	z_score	p_value	neglog10_p	cn_abs
A269010002	TRUE	1	chr7	116699007	116699226	MET	1113.49090909091	0.862483455889023	0.993082195303108	0.312688823324212	0.754517087773559	0.122330920180333	1.98616439060622
A269010002	TRUE	2	chr7	116699227	116699446	MET	1158.73181818182	0.858951727528659	1.03374701242134	-3.72050091566496	0.000198828021072685	3.70152240998056	2.06749402484269
A269010002	TRUE	3	chr7	116699447	116699666	MET	1203.48636363636	0.89961252094609	0.91972289685071	2.67449537826318	0.00748418078119499	2.12585573061522	1.83944579370142
A269010002	TRUE	4	chr7	116699667	116699886	MET	998.481818181818	1.20060000182095	1.00583988192455	-0.184541546169374	0.853588637661479	0.0687513745509762	2.0116797638491
A269010002	TRUE	5	chr7	116699887	116700106	MET	1115.91363636364	0.976988552660342	1.01230305646801	-1.612782836934	0.106791696175397	0.971462515522895	2.02460611293602
A269010002	TRUE	6	chr7	116700107	116700326	MET	1402.26363636364	0.639283761660568	1.1662277438323	-6.93189769946497	4.1523220567391e-12	11.3817089696971	2.33245548766461
A269010002	TRUE	7	chr7	116731660	116731899	MET	1024.59583333333	0.716508525555182	1.12474781614027	-6.55338862656458	5.62458860115005e-11	10.2499092376227	2.24949563228054
A269010002	TRUE	8	chr7	116739882	116740121	MET	676.829166666667	1.04912957605932	1.40552235316149	-10.2879896030121	7.98256035332482e-25	24.0978577892286	2.81104470632299
A269010002	TRUE	9	chr7	116740814	116741053	MET	1057.55833333333	0.896293838174507	1.17642305035036	-4.04912021103965	5.14105341131794e-05	4.28894788414694	2.35284610070072
A269010002	TRUE	10	chr7	116755327	116755566	MET	1022.0375	0.761894256583175	1.23389845015991	-21.9756675459866	1e-100	100	2.46779690031982
A269010002	TRUE	11	chr7	116757429	116757548	MET	795.908333333333	0.959047965335331	0.940406292702384	1.26624391879838	0.20542576818436	0.687345080318293	1.88081258540477
A269010002	TRUE	12	chr7	116757550	116757789	MET	714.079166666667	1.21057941106488	1.08066096710277	-5.30444992276429	1.13013261200479e-07	6.94687059254953	2.16132193420554
A269010002	TRUE	13	chr7	116758451	116758690	MET	789.35	0.960033044065792	1.29983910655965	-27.5656871531823	1e-100	100	2.59967821311931
A269010002	TRUE	14	chr7	116759383	116759502	MET	781.075	0.981550216898935	1.05755735282682	-2.24900168634052	0.0245123887823768	1.61061436380084	2.11511470565365
A269010002	TRUE	15	chr7	116763042	116763281	MET	203.4375	3.31972997250377	2.10250581449405	-33.2997516167216	1e-100	100	4.20501162898809
A269010002	TRUE	16	chr7	116769637	116769876	MET	1043.44583333333	0.585637065225927	1.48262531075492	-24.8276385304017	1e-100	100	2.96525062150985
A269010002	TRUE	17	chr7	116771420	116771659	MET	962.579166666667	0.744861377622684	1.59308006855218	-21.1439924346484	3.13410790624972e-99	98.5038860550014	3.18616013710435
A269010002	TRUE	18	chr7	116771811	116772050	MET	739.854166666667	1.08608866236777	1.14577721639666	-12.9658645634453	1.91063901767517e-38	37.7188213576549	2.29155443279333
A269010002	TRUE	19	chr7	116774873	116775112	MET	1057.97916666667	0.710234721923673	1.10215113983007	-5.45484369005018	4.90159433660681e-08	7.30966263446773	2.20430227966014
A269010002	TRUE	20	chr7	116777361	116777480	MET	711.425	0.95819774865001	1.55723318682408	-10.5827975689299	3.58103259123756e-26	25.4459917264245	3.11446637364816
A269010002	TRUE	21	chr7	116778748	116778987	MET	763.258333333333	0.910765050603543	1.34393779766604	-8.12273755982095	4.55784190166153e-16	15.3412407433125	2.68787559533207
